<SIL>	SIL
AGREEABLY	AH G R IY AH B L IY
AGREED	AH G R IY D
AGREEING	AH G R IY IH NG
AGREEMENT	AH G R IY M AH N T
AGREEMENTS	AH G R IY M AH N T S
AGREES	AH G R IY Z
AGRICULTURAL	AE G R IH K AH L CH ER AH L
AGRICULTURE	AE G R IH K AH L CH ER
AGRICULTURIST	AE G R IH K AH L CH ER IH S T
AGRICULTURISTS	AE G R IH K AH L CH ER IH S T S
AGRIVAINE	AE G R AH V EY N
AGROUND	AH G R AW N D
AGUARDIENTE	AE G W AH R D IY N T
AH	AA
AHA	AA HH AA
AHAB	EY HH AE B
AHEAD	AH HH EH D
AHHH	AE HH
AHIJAH	AE HH AH JH AH
AHOLD	AH HH OW L D
AID	EY D
AIDE	EY D
AIDED	EY D IH D
AIDING	EY D IH NG
AIDS	EY D Z
AIL	EY L
AILMENT	EY L M AH N T
AILMENTS	EY L M AH N T S
AILS	EY L Z
AIM	EY M
AIME	EY M
AIMED	EY M D
AIMING	EY M IH NG
AIMLESS	EY M L AH S
AIMLESSLY	EY M L AH S L IY
AIMS	EY M Z
AIN	AH IH N
AIN'T	EY N T
AINT	EY N T
AIR	EH R
AIRCRAFT	EH R K R AE F T
AIRILY	EH R IY L IY
AIRLESS	EH R L AH S
AIRMEN	EH R M EH N
AIRS	EH R Z
AIRSHIP	EH R SH IH P
AIRSHIPS	EH R SH IH P S
AIRTH	EH R TH
AIRY	EH R IY
AISLE	AY L
AISLE(2)	AY AH L
AISLES	AY L Z
AISLES(2)	AY AH L Z
AISY	AY Z IY
AJAR	AH JH AA R
AJAX	EY JH AE K S
AKHABBU	AE K AE B UW
AKHIABABA	AE K IY AE B AH B AH
AKHUNI	AE K Y AH N IY
AKIMBO	AH K IH M B OW
AKIN	AH K IH N
AKIN(2)	EY K IH N
AKKADIAN	AH K EY D IY AH N
AL	AE L
ALABAMA	AE L AH B AE M AH
ALABASTER	AE L AH B AE S T ER
ALACRITY	AH L AE K R AH T IY
ALADDIN	AE L AE D IH N
ALARIC	AE L ER IH K
ALARM	AH L AA R M
ALARMED	AH L AA R M D
ALARMING	AH L AA R M IH NG
ALARMS	AH L AA R M Z
ALARUM	AE L AH R AH M
ALAS	AH L AE S
ALASKA	AH L AE S K AH
ALASKAN	AH L AE S K AH N
ALATRI	AH L AE T R IY
ALBA	AE L B AH
ALBAN'S	AA L B AH N Z
ALBANIAN	AE L B EY N IY AH N
ALBANY	AO L B AH N IY
ALBATROSS	AE L B AH T R AA S
ALBEIT	AO L B IY IH T
ALBERT	AE L B ER T
ALBERT'S	AE L B ER T S
ALBION	AE L B IY AH N
ALBUM	AE L B AH M
ALCESTIS	AE L S EH S T AH S
ALCHEMIST	AE L K EH M IH S T
ALCHEMY	AE L K AH M IY
ALCOHOL	AE L K AH HH AA L
ALCOTT	AE L K AA T
ALCOVE	AE L K OW V
ALCOVES	AE L K OW V Z
ALDENHAM	AE L D EH N HH AH M
ALDENHAM'S	AE L D EH N HH AH M Z
ALDER	AO L D ER
ALDERMAN	AO L D ER M AH N
ALDERMAN(2)	AE L D ER M AH N
ALDERMEN	AO L D ER M IH N
ALDERS	AE L D AH R Z
ALE	EY L
ALEC	AE L IH K
ALEC'S	AE L IH K S
ALEMBIC	AE L AH M B AH K
ALEPH	AA L AH F
ALEPPO	AH L EH P OW
ALERT	AH L ER T
ALERTED	AH L ER T IH D
ALERTLY	AH L ER T L IY
ALEUTIAN	AH L UW SH AH N
ALEXANDER	AE L IH G Z AE N D ER
ALEXANDER'S	AE L IH G Z AE N D ER Z
ALEXANDRE	AE L IH K S AA N D ER
ALEXANDRIA	AE L AH G Z AE N D R IY AH
ALEXANDRIAN	AH L EH K S AE N D R IY AH N
ALEXANDROVITCH	AE L AH K S AE N D R AH V AH CH
ALEXEY	AH L EH K S IY
ALEXIS	AH L EH K S IH S
ALF	AE L F
ALFORJAS	AE L F AO R JH AH Z
ALFRED	AE L F R IH D
ALGAE	AE L JH IY
ALGEBRA	AE L JH AH B R AH
ALGEBRAIC	AE L JH AH B R EY IH K
ALGONKIN	AE L G AO NG K AH N
ALGONQUIN	AE L G AA NG K W IH N
ALGONQUINS	AE L G AO NG K W AH N Z
ALI	AA L IY
ALIAKHIN	EY L IY AE K AH N
ALIAS	EY L IY AH S
ALIBI	AE L AH B AY
ALICE	AE L IH S
ALIEN	EY L IY AH N
ALIENATE	EY L Y AH N EY T
ALIENS	EY L IY AH N Z
ALIGHT	AH L AY T
ALIGHTED	AH L AY T IH D
ALIGHTING	AH L AY T IH NG
ALIGNMENT	AH L AY N M AH N T
ALIKE	AH L AY K
ALIONA	EY L IY AH N AH
ALIQUID	AH L IH K W AH D
ALIVE	AH L AY V
ALKALI	AE L K AH L AY
ALKALOIDS	AE L K AH L OY D Z
ALL	AO L
ALL'S	AO L Z
ALLAH	AA L AH
ALLAN	AE L AH N
ALLAY	AH L EY
ALLAYED	AH L EY D
ALLAYS	AH L EY Z
ALLEGE	AH L EH JH
ALLEGED	AH L EH JH D
ALLEGIANCE	AH L IY JH AH N S
ALLEGORICAL	AE L AH G AO R IH K AH L
ALLEGORIES	AE L AH G AO R IY Z
ALLEGORY	AE L AH G AO R IY
ALLEN	AE L AH N
ALLEN'S	AE L AH N Z
ALLENS	AE L AH N Z
ALLERS	AO L ER Z
ALLEVIATE	AH L IY V IY EY T
ALLEVIATION	AH L IY V IY EY SH AH N
ALLEY	AE L IY
ALLEYS	AE L IY Z
ALLIANCE	AH L AY AH N S
ALLIANCES	AH L AY AH N S IH Z
ALLIBONE	AE L AH B OW N
ALLIED	AH L AY D
ALLIED(2)	AE L AY D
ALLIES	AE L AY Z
ALLIES(2)	AH L AY Z
ALLIGATORS	AE L AH G EY T ER Z
ALLINGTON	AO L IH NG T AH N
ALLISON	AE L IH S AH N
ALLIUMS	AE L IY AH M Z
ALLOT	AH L AA T
ALLOTTED	AH L AA T IH D
ALLOW	AH L AW
ALLOW'D	AH L AW D
ALLOWABLE	AH L AW AH B AH L
ALLOWANCE	AH L AW AH N S
ALLOWANCES	AH L AW AH N S IH Z
ALLOWAY	AE L OW W EY
ALLOWED	AH L AW D
ALLOWING	AH L AW IH NG
ALLOWS	AH L AW Z
ALLOY	AE L OY
ALLSORT'S	AO L S AO R T S
ALLSORTS	AO L S AO R T S
ALLUDE	AH L UW D
ALLUDED	AH L UW D AH D
ALLUDES	AH L UW D Z
ALLUDING	AH L UW D IH NG
ALLURE	AH L UH R
ALLURED	AH L UH R D
ALLURING	AH L UH R IH NG
ALLUSION	AH L UW ZH AH N
ALLUSIONS	AH L UW ZH AH N Z
ALLY	AE L AY
ALLY(2)	AH L AY
ALMA	AA L M AH
ALMANAC	AA L M AH N AE K
ALMANACK'	AE L M AH N AH K
ALMIGHTY	AO L M AY T IY
ALMIRA'S	AA L M IH R AH Z
ALMONDS	AA L M AH N D Z
ALMOST	AO L M OW S T
ALMS	AA L M Z
ALMS(2)	AA M Z
ALMSHOUSE	AE L M SH AW Z
ALOFT	AH L AO F T
ALONE	AH L OW N
ALONG	AH L AO NG
ALONGSIDE	AH L AO NG S AY D
ALOOF	AH L UW F
ALOUD	AH L AW D
ALPATYCH	AE L P AH T AH CH
ALPHABET	AE L F AH B EH T
ALPINE	AE L P AY N
ALPS	AE L P S
ALREADY	AO L R EH D IY
ALREADY(2)	AO R EH D IY
ALSO	AO L S OW
ALTAR	AO L T ER
ALTARS	AO L T ER Z
ALTER	AO L T ER
ALTERATION	AO L T ER EY SH AH N
ALTERATIONS	AO L T ER EY SH AH N Z
ALTERATIVES	AO L T ER AH T IH V Z
ALTERCATION	AA L T ER K EY SH AH N
ALTERED	AO L T ER D
ALTERING	AO L T ER IH NG
ALTERNATE	AO L T ER N AH T
ALTERNATE(2)	AO L T ER N EY T
ALTERNATELY	AO L T ER N AH T L IY
ALTERNATING	AO L T ER N EY T IH NG
ALTERNATIONS	AO L T ER N AH SH AH N Z
ALTERNATIVE	AO L T ER N AH T IH V
ALTERNATIVES	AO L T ER N AH T IH V Z
ALTHESA	AE L TH AH S AH
ALTHOUGH	AO L DH OW
ALTITUDE	AE L T AH T UW D
ALTOGETHER	AO L T AH G EH DH ER
ALUMINIUM	AH L UW M IH N AH M
ALUMINIUM(2)	AE L Y UW M IH N AH M
ALUMINUM	AH L UW M AH N AH M
ALWAYS	AO L W EY Z
ALWAYS(2)	AO L W IY Z
AM	AE M
AM(2)	EY EH M
AMABEL	AE M AH B EH L
AMABEL'S	AE M AH B EH L Z
AMALFI	AH M AE L F IY
AMALGAMATE	AH M AE L G AH M EY T
AMALGAMATED	AH M AE L G AH M EY T IH D
AMALGAMATING	AH M AE L G AH M EY T IH NG
AMANUENSIS	AH M AE N Y AH W EH N S AH S
AMASINE	AE M AH S AY N
AMASSED	AH M AE S T
AMASSING	AH M AE S IH NG
AMATEUR	AE M AH CH ER
AMATEUR(2)	AE M AH T ER
AMATEURISHNESS	AE M AH T ER IH SH N AH S
AMATEURS	AE M AH CH ER Z
AMATEURS(2)	AE M AH T ER Z
AMAZE	AH M EY Z
AMAZED	AH M EY Z D
AMAZEMENT	AH M EY Z M AH N T
AMAZIN	AE M AH Z AH N
AMAZING	AH M EY Z IH NG
AMAZINGLY	AH M EY Z IH NG L IY
AMAZON	AE M AH Z AA N
AMAZONS	AE M AH Z AA N Z
AMBASSADOR	AE M B AE S AH D ER
AMBASSADORS	AE M B AE S AH D ER Z
AMBASSADORSHIP	AE M B AE S AH D ER SH IH P
AMBER	AE M B ER
AMBERING	AE M B ER IH NG
AMBIGUITY	AE M B IH G Y UW AH T IY
AMBIGUOUS	AE M B IH G Y UW AH S
AMBIGUOUSLY	AE M B IH G Y AH W AH S L IY
AMBIORIX	AE M B IY AH R AH K S
AMBITION	AE M B IH SH AH N
AMBITIONS	AE M B IH SH AH N Z
AMBITIOUS	AE M B IH SH AH S
AMBITIOUSLY	AE M B IH SH AH S L IY
AMBLE	AE M B AH L
AMBLED	AE M B AH L D
AMBOINA	AE M B OY N AH
AMBROSIA	AE M B R OW ZH AH
AMBROSIAL	AE M B R OW ZH AH L
AMBULANCE	AE M B Y AH L AH N S
AMBUSH	AE M B UH SH
AMBUSHED	AE M B UH SH T
AMBUSHES	AE M B UH SH IH Z
AMEER	EY M IH R
AMELIA	AH M IY L Y AH
AMELIA'S	AH M IY L Y AH Z
AMELIORATING	AH M IY L IY AH R EY T AH NG
AMEN	EY M EH N
AMEN(2)	AA M EH N
AMENABLE	AH M EH N AH B AH L
AMENABLE(2)	AH M IY N AH B AH L
AMEND	AH M EH N D
AMENDMENT	AH M EH N D M AH N T
AMENDS	AH M EH N D Z
AMERI	AH M EH R IY
AMERICA	AH M EH R IH K AH
AMERICA'S	AH M EH R IH K AH Z
AMERICAN	AH M EH R IH K AH N
AMERICAN'S	AH M EH R IH K AH N Z
AMERICANISM	AH M EH R IH K AH N IH Z AH M
AMERICANS	AH M EH R IH K AH N Z
AMETHYSTS	AE M AH TH AH S T S
AMHERST	AE M ER S T
AMIABLE	EY M IY AH B AH L
AMIABLY	EY M IY AH B L IY
AMICABLE	AE M IH K AH B AH L
AMICABLY	AE M IH K AH B L IY
AMID	AH M IH D
AMIDSHIPS	AH M IH D SH IH P S
AMIDST	AH M IH D S T
AMIN	AA M IY N
AMISS	AH M IH S
AMISTAD	AE M AH S T AE D
AMITY	AE M IH T IY
AMMERNITION	AE M AH R N IH SH AH N
AMMONIA	AH M OW N Y AH
AMMUNITION	AE M Y AH N IH SH AH N
AMNESIA	AE M N IY ZH AH
AMNESTY	AE M N AH S T IY
AMONG	AH M AH NG
AMONGST	AH M AH NG S T
AMONTILLADO	AE M AH N T IH L AH D OW
AMORIUM	AH M AO R IY AH M
AMOROUS	AE M ER AH S
AMORRHITES	AE M AH R AY T S
AMORY	EY M ER IY
AMOS	EY M AH S
AMOUNT	AH M AW N T
AMOUNTED	AH M AW N T IH D
AMOUNTED(2)	AH M AW N IH D
AMOUNTING	AH M AW N T IH NG
AMOUNTING(2)	AH M AW N IH NG
AMOUNTS	AH M AW N T S
AMOURS	AH M OW Y AH R Z
AMPHICTYONS	AE M F IH K T AY AH N Z
AMPHIOXUS	AE M F IY AA K S AH S
AMPHITHEATRAL	AE M F AH TH IY T R AH L
AMPHITHEATRE	AE M F AH TH IY EY T ER
AMPHITHEATRES	AE M F AH TH IY T AH R Z
AMPHITHEATRICAL	AE M F AH TH IY T R IH S AH L
AMPLE	AE M P AH L
AMPLIFICATION	AE M P L AH F AH K EY SH AH N
AMPLIFIED	AE M P L AH F AY D
AMPLY	AE M P L IY
AMPUTATING	AE M P Y AH T EY T IH NG
AMSTERDAM	AE M S T ER D AE M
AMU	AE M UW
AMUCK	AH M AH K
AMUSE	AH M Y UW Z
AMUSED	AH M Y UW Z D
AMUSEMENT	AH M Y UW Z M AH N T
AMUSEMENTS	AH M Y UW Z M AH N T S
AMUSING	AH M Y UW Z IH NG
AN	AE N
AN'	AE N
AN'(2)	AH N
AN'T	AH AH N T
AN(2)	AH N
ANACHARSIS	AE N AH CH AA R S AH S
ANACHRONISM	AH N AE K R AH N IH Z AH M
ANALOGOUS	AH N AE L AH G AH S
ANALOGUES	AE N AH L AO G Z
ANALOGY	AH N AE L AH JH IY
ANALYSING	AE N AH L AY Z IH NG
ANALYSIS	AE N AE L IH S IH S
ANALYTIC	AE N AH L IH T IH K
ANALYZED	AE N AH L AY Z D
ANALYZING	AE N AH L AY Z IH NG
ANARCHICAL	AE N AA R K IH K AH L
ANARCHY	AE N ER K IY
ANASTASIA	AE N AH S T EY ZH AH
ANATHEMA	AH N AE TH AH M AH
ANATHEMAS	AH N AE TH AH M AH Z
ANATOLIC	AE N AH T AH L AH K
ANATOMICALLY	AE N AH T AA M AH K L IY
ANATOMIST	AH N AE T AH M IH S T
ANAURUS	AH N EY Y AH R AH S
ANCASTER	AE NG K AE S T AH R
ANCESTOR	AE N S EH S T ER
ANCESTORS	AE N S EH S T ER Z
ANCESTRAL	AE N S EH S T R AH L
ANCESTRALLY	AE N S EH S T R AH L IY
ANCESTRY	AE N S EH S T R IY
ANCHISES	AE NG K AY Z AH Z
ANCHOR	AE NG K ER
ANCHORAGE	AE NG K AH R IH JH
ANCHORED	AE NG K ER D
ANCHORS	AE NG K ER Z
ANCHOVIES	AE N CH OW V IY Z
ANCHOVY	AE N CH OW V IY
ANCIENT	EY N CH AH N T
ANCIENT(2)	EY N SH AH N T
ANCIENTLY	EY N SH AH N T L IY
ANCIENTS	EY N CH AH N T S
ANCIENTS(2)	EY N SH AH N T S
AND	AH N D
AND(2)	AE N D
ANDAMAN	AE N D AH M AH N
ANDANTE	AA N D AA N T EY
ANDERSON	AE N D ER S AH N
ANDOVER	AE N D OW V ER
ANDRE	AA N D R EY
ANDREA	AE N D R IY AH
ANDREA'S	AE N D R IY AH Z
ANDREA'S(2)	AA N D R EY AH Z
ANDREA(2)	AA N D R EY AH
ANDREAE	AA N D R EY AA
ANDREAS	AA N D R EY AH S
ANDREW	AE N D R UW
ANDREW'S	AE N D R UW Z
ANDREWS	AE N D R UW Z
ANDREWS'S	AE N D R UW Z IX Z
ANDS	AE N D Z
ANDY	AE N D IY
ANECDOTE	AE N IH K D OW T
ANECDOTES	AE N IH K D OW T S
ANEMIC	AH N IY M IH K
ANEROID	AE N AH R OY D
ANEROIDS	AE N AH R OY D Z
ANEW	AH N UW
ANEW(2)	AH N Y UW
ANGE	EY N JH
ANGEL	EY N JH AH L
ANGELES	AE N JH AH L IH S
ANGELIC	AE N JH EH L IH K
ANGELIQUE	AE N JH EH L IY K
ANGELO	AE N JH AH L OW
ANGELS	EY N JH AH L Z
ANGER	AE NG G ER
ANGERED	AE NG G ER D
ANGERS	AE NG G ER Z
ANGLE	AE NG G AH L
ANGLED	AE NG G AH L D
ANGLES	AE NG G AH L Z
ANGLICAN	AE NG G L IH K AH N
ANGLING	AE NG G L IH NG
ANGLO	AE NG G L OW
ANGOLA	AE NG G OW L AH
ANGRILY	AE NG G R AH L IY
ANGRY	AE NG G R IY
ANGUISH	AE NG G W IH SH
ANGULAR	AE NG G Y AH L ER
ANIMADVERTED	AE N AH M AE D AH R T AH D
ANIMAL	AE N AH M AH L
ANIMAL'S	AE N AH M AH L Z
ANIMALS	AE N AH M AH L Z
ANIMATE	AE N AH M AH T
ANIMATE(2)	AE N AH M EY T
ANIMATED	AE N AH M EY T IH D
ANIMATION	AE N AH M EY SH AH N
ANIMISTIC	AE N AH M IH S T IH K
ANIMO	AE N AH M OW
ANIMOSITY	AE N AH M AA S AH T IY
ANISEED	AE N AH S IY D
ANITA	AH N IY T AH
ANITA'S	AH N IY T AH Z
ANJITSU	AE N JH IH T S UW
ANJOU	AE N JH UW
ANKLE	AE NG K AH L
ANKLES	AE NG K AH L Z
ANKLET	AE NG K L IH T
ANKLETS	AE NG K L AH T S
ANN	AE N
ANNA	AE N AH
ANNABEL	AE N AH B EH L
ANNALS	AE N AH L Z
ANNAMITE	AE N AH M AY T
ANNE	AE N
ANNE'S	AE N Z
ANNEALED	AE N IY L D
ANNETTA	AE N EH T AH
ANNETTE	AH N EH T
ANNEX	AE N EH K S
ANNEX'D	AH N EH K S D
ANNEX(2)	AH N EH K S
ANNEXED	AE N EH K S T
ANNEXED(2)	AH N EH K S T
ANNIE	AE N IY
ANNIE'S	AE N IY Z
ANNIHILATE	AH N AY AH L EY T
ANNIHILATED	AH N AY AH L EY T IH D
ANNIHILATES	AH N AY AH L EY T S
ANNIHILATION	AH N AY AH L EY SH AH N
ANNIVERSARY	AE N AH V ER S ER IY
ANNOUNCE	AH N AW N S
ANNOUNCED	AH N AW N S T
ANNOUNCEMENT	AH N AW N S M EH N T
ANNOUNCEMENTS	AH N AW N S M EH N T S
ANNOUNCING	AH N AW N S IH NG
ANNOY	AH N OY
ANNOYANCE	AH N OY AH N S
ANNOYANCES	AH N OY AH N S IH Z
ANNOYED	AH N OY D
ANNOYING	AH N OY IH NG
ANNOYS	AH N OY Z
ANNUAL	AE N Y UW AH L
ANNUALLY	AE N Y UW AH L IY
ANNUITIES	AH N UW IH T IY Z
ANNUITY	AH N UW IH T IY
ANNUITY(2)	AH N Y UW IH T IY
ANNULLING	AE N AH L AH NG
ANNUM	AE N AH M
ANNUNCIATION	AH N AH N S IY EY SH AH N
ANOINTED	AH N OY N T IH D
ANOMALIES	AH N AA M AH L IY Z
ANOMALOUS	AH N AA M AH L AH S
ANOMALY	AH N AA M AH L IY
ANON	AE N AH N
ANONYMOUS	AH N AA N AH M AH S
ANOPLOTHERIA	AH N AA P L AH TH IY R IY AH
ANORAK	AE N ER AE K
ANORAKS	AE N AH R AH K S
ANOTHER	AH N AH DH ER
ANOTHER'S	AH N AH DH ER Z
ANSON	AE N S AH N
ANSWER	AE N S ER
ANSWERABLE	AE N S ER AH B AH L
ANSWERE	AE N S W AH R
ANSWERED	AE N S ER D
ANSWERER	AE N S ER ER
ANSWERING	AE N S ER IH NG
ANSWERS	AE N S ER Z
ANT	AE N T
ANT'S	AE N TS
ANTAEUS	AE N T IY AH S
ANTAGONISM	AE N T AE G AH N IH Z AH M
ANTAGONISMS	AE N T AE G AH N IH Z AH M Z
ANTAGONIST	AE N T AE G AH N AH S T
ANTAGONISTIC	AE N T AE G AH N IH S T IH K
ANTAGONISTS	AE N T AE G AH N AH S T S
ANTAGONISTS(2)	AE N T AE G AH N AH S
ANTARCTIC	AE N T AA R K T IH K
ANTARCTIC(2)	AE N AA R T IH K
ANTE	AE N T IY
ANTECEDENTS	AE N T IH S IY D AH N T S
ANTECEDENTS(2)	AE N T EH S AH D AH N T S
ANTECHAMBER	AE N T AH K AE M AH R
ANTELOPE	AE N T AH L OW P
ANTELOPES	AE N T AH L OW P S
ANTENNAE	AE N T EH N IY
ANTHONY	AE N TH AO N IY
ANTHONY'S	AE N TH AO N IY Z
ANTHROPOMORPHIC	AE N TH R AH P AH M AO R F IH K
ANTI	AE N T IY
ANTI(2)	AE N T AY
ANTICHRIST	AE N T IH K R AH S T
ANTICIPATED	AE N T IH S AH P EY T AH D
ANTICIPATED(2)	AE N T IH S AH P EY T IH D
ANTICIPATES	AE N T IH S AH P EY T S
ANTICIPATING	AE N T IH S AH P EY T IH NG
ANTICIPATION	AE N T IH S AH P EY SH AH N
ANTICIPATIONS	AE N T IH S AH P EY SH AH N Z
ANTICS	AE N T IH K S
ANTIDOTE	AE N T IH D OW T
ANTIDOTE(2)	AE N IH D OW T
ANTIES	AE N T IY Z
ANTIETAM	AE N T IY T AH M
ANTIGONUS	AE N T AH G OW N AH S
ANTIMACASSAR	AE N T AH M AE K AH S AH R
ANTIMONY	AE N T IH M AO N IY
ANTINOUS	AE N T IH N AH S
ANTIOCH	AE N T IY AA K
ANTIPATHETIC	AE N T AY P AH TH EH T IH K
ANTIPATHY	AE N T IH P AH TH IY
ANTIPHLOGISTICS	AE N T AY F L AH JH IH S T AH S Z
ANTIQUARIAN	AE N T AH K W EH R IY AH N
ANTIQUARIES	AE N T IY K EH R IY Z
ANTIQUATED	AE N T AH K W EY T AH D
ANTIQUATED(2)	AE N T AH K W EY T IH D
ANTIQUE	AE N T IY K
ANTIQUITY	AE N T IH K W AH T IY
ANTISOCIAL	AE N T IH S OW SH AH L
ANTISOCIAL(2)	AE N T AY S OW SH AH L
ANTITHESIS	AE N T IH TH AH S AH S
ANTLERED	AE N T L ER D
ANTLERS	AE N T L ER Z
ANTOINE	AA N T W AA N
ANTON	AE N T AO N
ANTONIA	AE N T OW N IY AH
ANTONINUS	AE N T AA N AH N AH S
ANTONIO	AE N T OW N IY OW
ANTONITCH	AE N T AO N IH CH
ANTONY	AE N T AH N IY
ANTS	AE N T S
ANTUNG	AE N T AH NG
ANTWERP	AE N T W ER P
ANVIL	AE N V AH L
ANXIETIES	AE NG Z AY AH T IY Z
ANXIETY	AE NG Z AY AH T IY
ANXIOUS	AE NG K SH AH S
ANXIOUS(2)	AE NG SH AH S
ANXIOUSLY	AE NG K SH AH S L IY
ANY	EH N IY
ANYBODY	EH N IY B AH D IY
ANYBODY'S	EH N IY B AH D IY Z
ANYHOW	EH N IY HH AW
ANYONE	EH N IY W AH N
ANYONE'S	EH N IY W AH N Z
ANYTHING	EH N IY TH IH NG
ANYWAY	EH N IY W EY
ANYWHERE	EH N IY W EH R
ANYWHERE(2)	EH N IY HH W EH R
APACE	AH P EY S
APACHE	AH P AE CH IY
APAMEA	AH P EY M IY AH
APAMIA	AH P EY M IY AH
APART	AH P AA R T
APARTMENT	AH P AA R T M AH N T
APARTMENTS	AH P AA R T M AH N T S
APATHETICALLY	AE P AH TH EH T IH K AH L IY
APATHY	AE P AH TH IY
APE	EY P
APE'S	EY P S
APENNINES	AH P EH N AY N Z
APENNY	AH P EH N IY
APERTURE	AE P ER CH ER
APERTURES	AE P AH CH UW R Z
APES	EY P S
APEX	EY P EH K S
APHORISMS	AE F ER IH Z AH M Z
APIECE	AH P IY S
APING	EY P IH NG
APLENTY	AH P L EH N T IY
APLI	AE P L IY
APOLLINARIS	AH P OW L IH N EH R IY Z
APOLLO	AH P AA L OW
APOLLO'S	AH P AA L OW Z
APOLLON	AH P OW L AO N
APOLLONIA	AE P AH L OW N Y AH
APOLOGETIC	AH P AA L AH JH EH T IH K
APOLOGETICALLY	AH P AA L AH JH EH T IH K L IY
APOLOGIES	AH P AA L AH JH IY Z
APOLOGISE	AH P AA L AH JH AY Z
APOLOGISED	AH P AA L AH JH AY Z D
APOLOGIZE	AH P AA L AH JH AY Z
APOLOGIZED	AH P AA L AH JH AY Z D
APOLOGIZES	AH P AA L AH JH AY Z IH Z
APOLOGY	AH P AA L AH JH IY
APOPLEXY	AE P AH P L EH K S IY
APOSTLE	AH P AO S AH L
APOSTOLIC	AE P AO S T AO L IH K
APOSTOLICAL	AE P AH S T AA L IH K AH L
APOSTROPHE	AH P AA S T R AH F IY
APOSTROPHIZED	AH P AA S T R AH F AY Z D
APOSTROPHIZING	AH P AA S T R AH F AY Z AH NG
APOTHECARIES	AH P AA TH AH K EH R IY Z
APOTHECARY	AH P AA TH AH K EH R IY
APOTHEOSES	AH P AA TH IY OW Z AH Z
APOTHEOSIS	AH P AA TH IY OW S AH S
APPALACHE	AE P AH L AH CH
APPALLED	AH P AO L D
APPALLING	AH P AO L IH NG
APPALLINGLY	AH P AO L IH NG L IY
APPARATUS	AE P ER AE T AH S
APPAREL	AH P AE R AH L
APPARENT	AH P EH R AH N T
APPARENTLY	AH P EH R AH N T L IY
APPARITION	AE P ER IH SH AH N
APPARITIONS	AE P ER IH SH AH N Z
APPEAL	AH P IY L
APPEALED	AH P IY L D
APPEALING	AH P IY L IH NG
APPEALS	AH P IY L Z
APPEAR	AH P IH R
APPEARANCE	AH P IH R AH N S
APPEARANCES	AH P IH R AH N S AH Z
APPEARED	AH P IH R D
APPEAREST	AH P IH ER AH S T
APPEARING	AH P IH R IH NG
APPEARS	AH P IH R Z
APPEASE	AH P IY Z
APPEASED	AH P IY Z D
APPEASING	AH P IY Z IH NG
APPELLATION	AE P AH L EY SH AH N
APPELLATIONS	AE P AH L EY SH AH N Z
APPENDAGE	AH P EH N D IH JH
APPENDICITIS	AH P EH N D IH S AY T IH Z
APPENDIX	AH P EH N D IH K S
APPERTAIN	AE P AH R T EY N
APPERTAINING	AE P AH R T EY N AH NG
APPERTAINS	AE P AH R T EY N Z
APPETISING	AE P AH T AY Z AH NG
APPETITE	AE P AH T AY T
APPETITES	AE P AH T AY T S
APPETIZER	AE P AH T AY Z ER
APPETIZERS	AE P AH T AY Z ER Z
APPLAUD	AH P L AO D
APPLAUDED	AH P L AO D IH D
APPLAUDING	AH P L AO D IH NG
APPLAUSE	AH P L AO Z
APPLE	AE P AH L
APPLES	AE P AH L Z
APPLIANCES	AH P L AY AH N S IH Z
APPLICABLE	AE P L AH K AH B AH L
APPLICANT	AE P L IH K AH N T
APPLICATION	AE P L AH K EY SH AH N
APPLICATIONS	AE P L AH K EY SH AH N Z
APPLIED	AH P L AY D
APPLIES	AH P L AY Z
APPLY	AH P L AY
APPLYING	AH P L AY IH NG
APPOINT	AH P OY N T
APPOINTED	AH P OY N T AH D
APPOINTED(2)	AH P OY N T IH D
APPOINTEE	AH P OY N T IY
APPOINTING	AH P OY N T IH NG
APPOINTMENT	AH P OY N T M AH N T
APPOINTMENTS	AH P OY N T M AH N T S
APPOMATTOX	AE P AH M AE T AH K S
APPORTION	AH P AO R SH AH N
APPORTIONED	AH P AO R SH AH N D
APPOSITELY	AE P AH S AY T L IY
APPRAISE	AH P R EY Z
APPRAISING	AH P R EY Z IH NG
APPRECIABLE	AH P R IY SH AH B AH L
APPRECIABLY	AH P R IY SH AH B L IY
APPRECIATE	AH P R IY SH IY EY T
APPRECIATED	AH P R IY SH IY EY T IH D
APPRECIATING	AH P R IY SH IY EY T IH NG
APPRECIATION	AH P R IY SH IY EY SH AH N
APPRECIATIVE	AH P R IY SH IY EY T IH V
APPRECIATIVE(2)	AH P R IY SH Y AH T IH V
APPREHEND	AE P R IH HH EH N D
APPREHENDED	AE P R IH HH EH N D AH D
APPREHENSION	AE P R IH HH EH N SH AH N
APPREHENSIONS	AE P R IH HH EH N SH AH N Z
APPREHENSIVE	AE P R IH HH EH N S IH V
APPREHENSIVE(2)	AE P R IY HH EH N S IH V
APPRENTICE	AH P R EH N T AH S
APPRENTICE(2)	AH P R EH N T IH S
APPRENTICED	AH P R EH N T AH S T
APPRENTICES	AH P R EH N T AH S IH Z
APPRENTICESHIP	AH P R EH N T AH S SH IH P
APPRIZED	AE P R AY Z D
APPROACH	AH P R OW CH
APPROACHED	AH P R OW CH T
APPROACHES	AH P R OW CH IH Z
APPROACHING	AH P R OW CH IH NG
APPROBATION	AE P R AH B EY SH AH N
