<SIL>	1.0     SIL
<SPN>	1.0     SPN
<UNK>	1.0     UNK
AFFABLY	1.0	AE F AH B L IY
AFFAIR	1.0	AH F EH R
AFFAIRS	1.0	AH F EH R Z
AFFECT	1.0	AH F EH K T
AFFECTATION	1.0	AE F EH K T EY SH AH N
AFFECTED	1.0	AH F EH K T IH D
AFFECTING	1.0	AH F EH K T IH NG
AFFECTION	1.0	AH F EH K SH AH N
AFFECTIONAL	1.0	AH F EH K SH AH N AH L
AFFECTIONATE	1.0	AH F EH K SH AH N AH T
AFFECTIONATELY	1.0	AH F EH K SH AH N AH T L IY
AFFECTIONATENESS	1.0	AH F EH K SH AH N AH T N AH S
AFFECTIONES	1.0	AE F EH K T IY OW N Z
AFFECTIONS	1.0	AH F EH K SH AH N Z
AFFECTIVE	1.0	AH F EH K T IH V
AFFECTS	1.0	AH F EH K T S
AFFETTATORE	1.0	AE F EH T AH T AH R
AFFIDAVIT	1.0	AE F AH D EY V AH T
AFFINITIES	1.0	AH F IH N AH T IY Z
AFFINITY	1.0	AH F IH N IH T IY
AFFIRM	1.0	AH F ER M
AFFIRMATION	1.0	AE F ER M EY SH AH N
AFFIRMATIVE	1.0	AH F ER M AH T IH V
AFFIRMATIVELY	1.0	AH F ER M AH T IH V L IY
AFFIRMATORY	1.0	AH F ER M AH T OW R IY
AFFIRMED	1.0	AH F ER M D
AFFIRMS	1.0	AH F ER M Z
AFFIXED	1.0	AH F IH K S T
AFFLICT	1.0	AH F L IH K T
AFFLICTED	1.0	AH F L IH K T IH D
AFFLICTING	1.0	AH F L IH K T IH NG
AFFLICTION	1.0	AH F L IH K SH AH N
AFFLICTIONS	1.0	AH F L IH K SH AH N Z
AFFLICTS	1.0	AH F L IH K T S
AFFLUENCE	1.0	AE F L UW AH N S
AFFLUENT	1.0	AE F L UW AH N T
AFFLUX	1.0	AE F L AH K S
AFFORD	1.0	AH F AO R D
AFFORDED	1.0	AH F AO R D AH D
AFFORDING	1.0	AH F AO R D IH NG
AFFORDS	1.0	AH F AO R D Z
AFFRIGHT	1.0	AE F R AY T
AFFRIGHTED	1.0	AE F R AY T AH D
AFFRONT	1.0	AH F R AH N T
AFFRONTED	1.0	AH F R AH N T IH D
AFGHAN	1.0	AE F G AE N
AFIRE	1.0	AH F AY R
AFLAME	1.0	AH F L EY M
AFLOAT	1.0	AH F L OW T
AFOOT	1.0	AH F UH T
AFORE	1.0	AH F OW R
AFORESAID	1.0	AH F AO R S EH D
AFRAID	1.0	AH F R EY D
AFRESH	1.0	AH F R EH SH
AFRIC'S	1.0	AE F R AH S Z
AFRICA	1.0	AE F R IH K AA
AFRICAN	1.0	AE F R IH K AA N
AFRICANS	1.0	AE F R IH K AH N Z
AFRIKANDER	1.0	AE F R AH K AE N D AH R
AFRITES	1.0	AE F R AY T S
AFT	1.0	AE F T
AFTAH	1.0	AE F T AH
AFTER	1.0	AE F T ER
AFTERDECK	1.0	AE F T ER D EH K
AFTERGLOW	1.0	AE F T ER G L OW
AFTERMATH	1.0	AE F T ER M AE TH
AFTERMATHS	1.0	AE F T ER M AE TH S
AFTERNOON	1.0	AE F T ER N UW N
AFTERNOON'S	1.0	AE F T ER N UW N Z
AFTERNOONS	1.0	AE F T ER N UW N Z
AFTERTHOUGHT	1.0	AE F T ER TH AA T
AFTERTHOUGHT(2)	1.0	AE F T ER TH AO T
AFTERWARD	1.0	AE F T ER W ER D
AFTERWARDS	1.0	AE F T ER W ER D Z
AFTHER	1.0	AE F DH AH R
AFY	1.0	EY F IY
AFY'S	1.0	AE F AH Z
AGAIN	1.0	AH G EH N
AGAIN(2)	1.0	AH G EY N
AGAINST	1.0	AH G EH N S T
AGAINST(2)	1.0	AH G EY N S T
AGAMEMNON	1.0	AE G AH M EH M N AA N
AGAMENTICUS	1.0	AE G AH M EH N T IH S AH S
AGATHA	1.0	AE G AH TH AH
AGE	1.0	EY JH
AGED	1.0	EY JH D
AGED(2)	1.0	EY JH IH D
AGEETUK	1.0	EY JH IY T AH K
AGENCIES	1.0	EY JH AH N S IY Z
AGENCY	1.0	EY JH AH N S IY
AGENT	1.0	EY JH AH N T
AGENT'S	1.0	EY JH AH N T S
AGENTS	1.0	EY JH AH N T S
AGERS	1.0	EY JH ER Z
AGES	1.0	EY JH IH Z
AGGRAVATED	1.0	AE G R AH V EY T IH D
AGGRAVATION	1.0	AE G R AH V EY SH AH N
AGGREGATE	1.0	AE G R AH G AH T
AGGREGATE(2)	1.0	AE G R AH G EY T
AGGREGATED	1.0	AE G R AH G EY T AH D
AGGREGATION	1.0	AE G R AH G EY SH AH N
AGGRESSIVE	1.0	AH G R EH S IH V
AGGRESSIVELY	1.0	AH G R EH S IH V L IY
AGGRESSIVENESS	1.0	AH G R EH S IH V N AH S
AGGRESSORS	1.0	AH G R EH S ER Z
AGGRIEVED	1.0	AH G R IY V D
AGHAST	1.0	AH G AE S T
AGILE	1.0	AE JH AH L
AGILITY	1.0	AH JH IH L AH T IY
AGINCOURT	1.0	AE JH AH N K AO R T
AGINT	1.0	AE JH AH N T
AGITATE	1.0	AE JH AH T EY T
AGITATED	1.0	AE JH AH T EY T AH D
AGITATION	1.0	AE JH AH T EY SH AH N
AGITATORS	1.0	AE JH IH T EY T ER Z
AGLOW	1.0	AH G L OW
AGNES	1.0	AE G N IH S
AGNOSTIC	1.0	AE G N AA S T IH K
AGO	1.0	AH G OW
AGONIES	1.0	AE G AH N IY Z
AGONISING	1.0	AE G AH N IY Z IH NG
AGONIZED	1.0	AE G AH N AY Z D
AGONIZING	1.0	AE G AH N AY Z IH NG
AGONY	1.0	AE G AH N IY
AGOSTINO	1.0	AA G AO S T IY N OW
AGREE	1.0	AH G R IY
AGREEABLE	1.0	AH G R IY AH B AH L
AGREEABLY	1.0	AH G R IY AH B L IY
AGREED	1.0	AH G R IY D
AGREEING	1.0	AH G R IY IH NG
AGREEMENT	1.0	AH G R IY M AH N T
AGREEMENTS	1.0	AH G R IY M AH N T S
AGREES	1.0	AH G R IY Z
AGRICULTURAL	1.0	AE G R IH K AH L CH ER AH L
AGRICULTURE	1.0	AE G R IH K AH L CH ER
AGRICULTURIST	1.0	AE G R IH K AH L CH ER IH S T
AGRICULTURISTS	1.0	AE G R IH K AH L CH ER IH S T S
AGRIVAINE	1.0	AE G R AH V EY N
AGROUND	1.0	AH G R AW N D
AGUARDIENTE	1.0	AE G W AH R D IY N T
AH	1.0	AA
AHA	1.0	AA HH AA
AHAB	1.0	EY HH AE B
AHEAD	1.0	AH HH EH D
AHHH	1.0	AE HH
AHIJAH	1.0	AE HH AH JH AH
AHOLD	1.0	AH HH OW L D
AID	1.0	EY D
AIDE	1.0	EY D
AIDED	1.0	EY D IH D
AIDING	1.0	EY D IH NG
AIDS	1.0	EY D Z
AIL	1.0	EY L
AILMENT	1.0	EY L M AH N T
AILMENTS	1.0	EY L M AH N T S
AILS	1.0	EY L Z
AIM	1.0	EY M
AIME	1.0	EY M
AIMED	1.0	EY M D
AIMING	1.0	EY M IH NG
AIMLESS	1.0	EY M L AH S
AIMLESSLY	1.0	EY M L AH S L IY
AIMS	1.0	EY M Z
AIN	1.0	AH IH N
AIN'T	1.0	EY N T
AINT	1.0	EY N T
AIR	1.0	EH R
AIRCRAFT	1.0	EH R K R AE F T
AIRILY	1.0	EH R IY L IY
AIRLESS	1.0	EH R L AH S
AIRMEN	1.0	EH R M EH N
AIRS	1.0	EH R Z
AIRSHIP	1.0	EH R SH IH P
AIRSHIPS	1.0	EH R SH IH P S
AIRTH	1.0	EH R TH
AIRY	1.0	EH R IY
AISLE	1.0	AY L
AISLE(2)	1.0	AY AH L
AISLES	1.0	AY L Z
AISLES(2)	1.0	AY AH L Z
AISY	1.0	AY Z IY
AJAR	1.0	AH JH AA R
AJAX	1.0	EY JH AE K S
AKHABBU	1.0	AE K AE B UW
AKHIABABA	1.0	AE K IY AE B AH B AH
AKHUNI	1.0	AE K Y AH N IY
AKIMBO	1.0	AH K IH M B OW
AKIN	1.0	AH K IH N
AKIN(2)	1.0	EY K IH N
AKKADIAN	1.0	AH K EY D IY AH N
AL	1.0	AE L
ALABAMA	1.0	AE L AH B AE M AH
ALABASTER	1.0	AE L AH B AE S T ER
ALACRITY	1.0	AH L AE K R AH T IY
ALADDIN	1.0	AE L AE D IH N
ALARIC	1.0	AE L ER IH K
ALARM	1.0	AH L AA R M
ALARMED	1.0	AH L AA R M D
ALARMING	1.0	AH L AA R M IH NG
ALARMS	1.0	AH L AA R M Z
ALARUM	1.0	AE L AH R AH M
ALAS	1.0	AH L AE S
ALASKA	1.0	AH L AE S K AH
ALASKAN	1.0	AH L AE S K AH N
ALATRI	1.0	AH L AE T R IY
ALBA	1.0	AE L B AH
ALBAN'S	1.0	AA L B AH N Z
ALBANIAN	1.0	AE L B EY N IY AH N
ALBANY	1.0	AO L B AH N IY
ALBATROSS	1.0	AE L B AH T R AA S
ALBEIT	1.0	AO L B IY IH T
ALBERT	1.0	AE L B ER T
ALBERT'S	1.0	AE L B ER T S
ALBION	1.0	AE L B IY AH N
ALBUM	1.0	AE L B AH M
ALCESTIS	1.0	AE L S EH S T AH S
ALCHEMIST	1.0	AE L K EH M IH S T
ALCHEMY	1.0	AE L K AH M IY
ALCOHOL	1.0	AE L K AH HH AA L
ALCOTT	1.0	AE L K AA T
ALCOVE	1.0	AE L K OW V
ALCOVES	1.0	AE L K OW V Z
ALDENHAM	1.0	AE L D EH N HH AH M
ALDENHAM'S	1.0	AE L D EH N HH AH M Z
ALDER	1.0	AO L D ER
ALDERMAN	1.0	AO L D ER M AH N
ALDERMAN(2)	1.0	AE L D ER M AH N
ALDERMEN	1.0	AO L D ER M IH N
ALDERS	1.0	AE L D AH R Z
ALE	1.0	EY L
ALEC	1.0	AE L IH K
ALEC'S	1.0	AE L IH K S
ALEMBIC	1.0	AE L AH M B AH K
ALEPH	1.0	AA L AH F
ALEPPO	1.0	AH L EH P OW
ALERT	1.0	AH L ER T
ALERTED	1.0	AH L ER T IH D
ALERTLY	1.0	AH L ER T L IY
ALEUTIAN	1.0	AH L UW SH AH N
ALEXANDER	1.0	AE L IH G Z AE N D ER
ALEXANDER'S	1.0	AE L IH G Z AE N D ER Z
ALEXANDRE	1.0	AE L IH K S AA N D ER
ALEXANDRIA	1.0	AE L AH G Z AE N D R IY AH
ALEXANDRIAN	1.0	AH L EH K S AE N D R IY AH N
ALEXANDROVITCH	1.0	AE L AH K S AE N D R AH V AH CH
ALEXEY	1.0	AH L EH K S IY
ALEXIS	1.0	AH L EH K S IH S
ALF	1.0	AE L F
ALFORJAS	1.0	AE L F AO R JH AH Z
ALFRED	1.0	AE L F R IH D
ALGAE	1.0	AE L JH IY
ALGEBRA	1.0	AE L JH AH B R AH
ALGEBRAIC	1.0	AE L JH AH B R EY IH K
ALGONKIN	1.0	AE L G AO NG K AH N
ALGONQUIN	1.0	AE L G AA NG K W IH N
ALGONQUINS	1.0	AE L G AO NG K W AH N Z
ALI	1.0	AA L IY
ALIAKHIN	1.0	EY L IY AE K AH N
ALIAS	1.0	EY L IY AH S
ALIBI	1.0	AE L AH B AY
ALICE	1.0	AE L IH S
ALIEN	1.0	EY L IY AH N
ALIENATE	1.0	EY L Y AH N EY T
ALIENS	1.0	EY L IY AH N Z
ALIGHT	1.0	AH L AY T
ALIGHTED	1.0	AH L AY T IH D
ALIGHTING	1.0	AH L AY T IH NG
ALIGNMENT	1.0	AH L AY N M AH N T
ALIKE	1.0	AH L AY K
ALIONA	1.0	EY L IY AH N AH
ALIQUID	1.0	AH L IH K W AH D
ALIVE	1.0	AH L AY V
ALKALI	1.0	AE L K AH L AY
ALKALOIDS	1.0	AE L K AH L OY D Z
ALL	1.0	AO L
ALL'S	1.0	AO L Z
ALLAH	1.0	AA L AH
ALLAN	1.0	AE L AH N
ALLAY	1.0	AH L EY
ALLAYED	1.0	AH L EY D
ALLAYS	1.0	AH L EY Z
ALLEGE	1.0	AH L EH JH
ALLEGED	1.0	AH L EH JH D
ALLEGIANCE	1.0	AH L IY JH AH N S
ALLEGORICAL	1.0	AE L AH G AO R IH K AH L
ALLEGORIES	1.0	AE L AH G AO R IY Z
ALLEGORY	1.0	AE L AH G AO R IY
ALLEN	1.0	AE L AH N
ALLEN'S	1.0	AE L AH N Z
ALLENS	1.0	AE L AH N Z
ALLERS	1.0	AO L ER Z
ALLEVIATE	1.0	AH L IY V IY EY T
ALLEVIATION	1.0	AH L IY V IY EY SH AH N
ALLEY	1.0	AE L IY
ALLEYS	1.0	AE L IY Z
ALLIANCE	1.0	AH L AY AH N S
ALLIANCES	1.0	AH L AY AH N S IH Z
ALLIBONE	1.0	AE L AH B OW N
ALLIED	1.0	AH L AY D
ALLIED(2)	1.0	AE L AY D
ALLIES	1.0	AE L AY Z
ALLIES(2)	1.0	AH L AY Z
ALLIGATORS	1.0	AE L AH G EY T ER Z
ALLINGTON	1.0	AO L IH NG T AH N
ALLISON	1.0	AE L IH S AH N
ALLIUMS	1.0	AE L IY AH M Z
ALLOT	1.0	AH L AA T
ALLOTTED	1.0	AH L AA T IH D
ALLOW	1.0	AH L AW
ALLOW'D	1.0	AH L AW D
ALLOWABLE	1.0	AH L AW AH B AH L
ALLOWANCE	1.0	AH L AW AH N S
ALLOWANCES	1.0	AH L AW AH N S IH Z
ALLOWAY	1.0	AE L OW W EY
ALLOWED	1.0	AH L AW D
ALLOWING	1.0	AH L AW IH NG
ALLOWS	1.0	AH L AW Z
ALLOY	1.0	AE L OY
ALLSORT'S	1.0	AO L S AO R T S
ALLSORTS	1.0	AO L S AO R T S
ALLUDE	1.0	AH L UW D
ALLUDED	1.0	AH L UW D AH D
ALLUDES	1.0	AH L UW D Z
ALLUDING	1.0	AH L UW D IH NG
ALLURE	1.0	AH L UH R
ALLURED	1.0	AH L UH R D
ALLURING	1.0	AH L UH R IH NG
ALLUSION	1.0	AH L UW ZH AH N
ALLUSIONS	1.0	AH L UW ZH AH N Z
ALLY	1.0	AE L AY
ALLY(2)	1.0	AH L AY
ALMA	1.0	AA L M AH
ALMANAC	1.0	AA L M AH N AE K
ALMANACK'	1.0	AE L M AH N AH K
ALMIGHTY	1.0	AO L M AY T IY
ALMIRA'S	1.0	AA L M IH R AH Z
ALMONDS	1.0	AA L M AH N D Z
ALMOST	1.0	AO L M OW S T
ALMS	1.0	AA L M Z
ALMS(2)	1.0	AA M Z
ALMSHOUSE	1.0	AE L M SH AW Z
ALOFT	1.0	AH L AO F T
ALONE	1.0	AH L OW N
ALONG	1.0	AH L AO NG
ALONGSIDE	1.0	AH L AO NG S AY D
ALOOF	1.0	AH L UW F
ALOUD	1.0	AH L AW D
ALPATYCH	1.0	AE L P AH T AH CH
ALPHABET	1.0	AE L F AH B EH T
ALPINE	1.0	AE L P AY N
ALPS	1.0	AE L P S
ALREADY	1.0	AO L R EH D IY
ALREADY(2)	1.0	AO R EH D IY
ALSO	1.0	AO L S OW
ALTAR	1.0	AO L T ER
ALTARS	1.0	AO L T ER Z
ALTER	1.0	AO L T ER
ALTERATION	1.0	AO L T ER EY SH AH N
ALTERATIONS	1.0	AO L T ER EY SH AH N Z
ALTERATIVES	1.0	AO L T ER AH T IH V Z
ALTERCATION	1.0	AA L T ER K EY SH AH N
ALTERED	1.0	AO L T ER D
ALTERING	1.0	AO L T ER IH NG
ALTERNATE	1.0	AO L T ER N AH T
ALTERNATE(2)	1.0	AO L T ER N EY T
ALTERNATELY	1.0	AO L T ER N AH T L IY
ALTERNATING	1.0	AO L T ER N EY T IH NG
ALTERNATIONS	1.0	AO L T ER N AH SH AH N Z
ALTERNATIVE	1.0	AO L T ER N AH T IH V
ALTERNATIVES	1.0	AO L T ER N AH T IH V Z
ALTHESA	1.0	AE L TH AH S AH
ALTHOUGH	1.0	AO L DH OW
ALTITUDE	1.0	AE L T AH T UW D
ALTOGETHER	1.0	AO L T AH G EH DH ER
ALUMINIUM	1.0	AH L UW M IH N AH M
ALUMINIUM(2)	1.0	AE L Y UW M IH N AH M
ALUMINUM	1.0	AH L UW M AH N AH M
ALWAYS	1.0	AO L W EY Z
ALWAYS(2)	1.0	AO L W IY Z
AM	1.0	AE M
AM(2)	1.0	EY EH M
AMABEL	1.0	AE M AH B EH L
AMABEL'S	1.0	AE M AH B EH L Z
AMALFI	1.0	AH M AE L F IY
AMALGAMATE	1.0	AH M AE L G AH M EY T
AMALGAMATED	1.0	AH M AE L G AH M EY T IH D
AMALGAMATING	1.0	AH M AE L G AH M EY T IH NG
AMANUENSIS	1.0	AH M AE N Y AH W EH N S AH S
AMASINE	1.0	AE M AH S AY N
AMASSED	1.0	AH M AE S T
AMASSING	1.0	AH M AE S IH NG
AMATEUR	1.0	AE M AH CH ER
AMATEUR(2)	1.0	AE M AH T ER
AMATEURISHNESS	1.0	AE M AH T ER IH SH N AH S
AMATEURS	1.0	AE M AH CH ER Z
AMATEURS(2)	1.0	AE M AH T ER Z
AMAZE	1.0	AH M EY Z
AMAZED	1.0	AH M EY Z D
AMAZEMENT	1.0	AH M EY Z M AH N T
AMAZIN	1.0	AE M AH Z AH N
AMAZING	1.0	AH M EY Z IH NG
AMAZINGLY	1.0	AH M EY Z IH NG L IY
AMAZON	1.0	AE M AH Z AA N
AMAZONS	1.0	AE M AH Z AA N Z
AMBASSADOR	1.0	AE M B AE S AH D ER
AMBASSADORS	1.0	AE M B AE S AH D ER Z
AMBASSADORSHIP	1.0	AE M B AE S AH D ER SH IH P
AMBER	1.0	AE M B ER
AMBERING	1.0	AE M B ER IH NG
AMBIGUITY	1.0	AE M B IH G Y UW AH T IY
AMBIGUOUS	1.0	AE M B IH G Y UW AH S
AMBIGUOUSLY	1.0	AE M B IH G Y AH W AH S L IY
AMBIORIX	1.0	AE M B IY AH R AH K S
AMBITION	1.0	AE M B IH SH AH N
AMBITIONS	1.0	AE M B IH SH AH N Z
AMBITIOUS	1.0	AE M B IH SH AH S
AMBITIOUSLY	1.0	AE M B IH SH AH S L IY
AMBLE	1.0	AE M B AH L
AMBLED	1.0	AE M B AH L D
AMBOINA	1.0	AE M B OY N AH
AMBROSIA	1.0	AE M B R OW ZH AH
AMBROSIAL	1.0	AE M B R OW ZH AH L
AMBULANCE	1.0	AE M B Y AH L AH N S
AMBUSH	1.0	AE M B UH SH
AMBUSHED	1.0	AE M B UH SH T
AMBUSHES	1.0	AE M B UH SH IH Z
AMEER	1.0	EY M IH R
AMELIA	1.0	AH M IY L Y AH
AMELIA'S	1.0	AH M IY L Y AH Z
AMELIORATING	1.0	AH M IY L IY AH R EY T AH NG
AMEN	1.0	EY M EH N
AMEN(2)	1.0	AA M EH N
AMENABLE	1.0	AH M EH N AH B AH L
AMENABLE(2)	1.0	AH M IY N AH B AH L
AMEND	1.0	AH M EH N D
AMENDMENT	1.0	AH M EH N D M AH N T
AMENDS	1.0	AH M EH N D Z
AMERI	1.0	AH M EH R IY
AMERICA	1.0	AH M EH R IH K AH
AMERICA'S	1.0	AH M EH R IH K AH Z
AMERICAN	1.0	AH M EH R IH K AH N
AMERICAN'S	1.0	AH M EH R IH K AH N Z
AMERICANISM	1.0	AH M EH R IH K AH N IH Z AH M
AMERICANS	1.0	AH M EH R IH K AH N Z
AMETHYSTS	1.0	AE M AH TH AH S T S
AMHERST	1.0	AE M ER S T
AMIABLE	1.0	EY M IY AH B AH L
AMIABLY	1.0	EY M IY AH B L IY
AMICABLE	1.0	AE M IH K AH B AH L
AMICABLY	1.0	AE M IH K AH B L IY
AMID	1.0	AH M IH D
AMIDSHIPS	1.0	AH M IH D SH IH P S
AMIDST	1.0	AH M IH D S T
AMIN	1.0	AA M IY N
AMISS	1.0	AH M IH S
AMISTAD	1.0	AE M AH S T AE D
AMITY	1.0	AE M IH T IY
AMMERNITION	1.0	AE M AH R N IH SH AH N
AMMONIA	1.0	AH M OW N Y AH
AMMUNITION	1.0	AE M Y AH N IH SH AH N
AMNESIA	1.0	AE M N IY ZH AH
AMNESTY	1.0	AE M N AH S T IY
AMONG	1.0	AH M AH NG
AMONGST	1.0	AH M AH NG S T
AMONTILLADO	1.0	AE M AH N T IH L AH D OW
AMORIUM	1.0	AH M AO R IY AH M
AMOROUS	1.0	AE M ER AH S
AMORRHITES	1.0	AE M AH R AY T S
AMORY	1.0	EY M ER IY
AMOS	1.0	EY M AH S
AMOUNT	1.0	AH M AW N T
AMOUNTED	1.0	AH M AW N T IH D
AMOUNTED(2)	1.0	AH M AW N IH D
AMOUNTING	1.0	AH M AW N T IH NG
AMOUNTING(2)	1.0	AH M AW N IH NG
AMOUNTS	1.0	AH M AW N T S
AMOURS	1.0	AH M OW Y AH R Z
AMPHICTYONS	1.0	AE M F IH K T AY AH N Z
AMPHIOXUS	1.0	AE M F IY AA K S AH S
AMPHITHEATRAL	1.0	AE M F AH TH IY T R AH L
AMPHITHEATRE	1.0	AE M F AH TH IY EY T ER
AMPHITHEATRES	1.0	AE M F AH TH IY T AH R Z
AMPHITHEATRICAL	1.0	AE M F AH TH IY T R IH S AH L
AMPLE	1.0	AE M P AH L
AMPLIFICATION	1.0	AE M P L AH F AH K EY SH AH N
AMPLIFIED	1.0	AE M P L AH F AY D
AMPLY	1.0	AE M P L IY
AMPUTATING	1.0	AE M P Y AH T EY T IH NG
AMSTERDAM	1.0	AE M S T ER D AE M
AMU	1.0	AE M UW
AMUCK	1.0	AH M AH K
AMUSE	1.0	AH M Y UW Z
AMUSED	1.0	AH M Y UW Z D
AMUSEMENT	1.0	AH M Y UW Z M AH N T
AMUSEMENTS	1.0	AH M Y UW Z M AH N T S
AMUSING	1.0	AH M Y UW Z IH NG
AN	1.0	AE N
AN'	1.0	AE N
AN'(2)	1.0	AH N
AN'T	1.0	AH AH N T
AN(2)	1.0	AH N
ANACHARSIS	1.0	AE N AH CH AA R S AH S
ANACHRONISM	1.0	AH N AE K R AH N IH Z AH M
ANALOGOUS	1.0	AH N AE L AH G AH S
ANALOGUES	1.0	AE N AH L AO G Z
ANALOGY	1.0	AH N AE L AH JH IY
ANALYSING	1.0	AE N AH L AY Z IH NG
ANALYSIS	1.0	AE N AE L IH S IH S
ANALYTIC	1.0	AE N AH L IH T IH K
ANALYZED	1.0	AE N AH L AY Z D
ANALYZING	1.0	AE N AH L AY Z IH NG
ANARCHICAL	1.0	AE N AA R K IH K AH L
ANARCHY	1.0	AE N ER K IY
ANASTASIA	1.0	AE N AH S T EY ZH AH
ANATHEMA	1.0	AH N AE TH AH M AH
ANATHEMAS	1.0	AH N AE TH AH M AH Z
ANATOLIC	1.0	AE N AH T AH L AH K
ANATOMICALLY	1.0	AE N AH T AA M AH K L IY
ANATOMIST	1.0	AH N AE T AH M IH S T
ANAURUS	1.0	AH N EY Y AH R AH S
ANCASTER	1.0	AE NG K AE S T AH R
ANCESTOR	1.0	AE N S EH S T ER
ANCESTORS	1.0	AE N S EH S T ER Z
ANCESTRAL	1.0	AE N S EH S T R AH L
ANCESTRALLY	1.0	AE N S EH S T R AH L IY
ANCESTRY	1.0	AE N S EH S T R IY
ANCHISES	1.0	AE NG K AY Z AH Z
ANCHOR	1.0	AE NG K ER
ANCHORAGE	1.0	AE NG K AH R IH JH
ANCHORED	1.0	AE NG K ER D
ANCHORS	1.0	AE NG K ER Z
ANCHOVIES	1.0	AE N CH OW V IY Z
ANCHOVY	1.0	AE N CH OW V IY
ANCIENT	1.0	EY N CH AH N T
ANCIENT(2)	1.0	EY N SH AH N T
ANCIENTLY	1.0	EY N SH AH N T L IY
ANCIENTS	1.0	EY N CH AH N T S
ANCIENTS(2)	1.0	EY N SH AH N T S
AND	1.0	AH N D
AND(2)	1.0	AE N D
ANDAMAN	1.0	AE N D AH M AH N
ANDANTE	1.0	AA N D AA N T EY
ANDERSON	1.0	AE N D ER S AH N
ANDOVER	1.0	AE N D OW V ER
ANDRE	1.0	AA N D R EY
ANDREA	1.0	AE N D R IY AH
ANDREA'S	1.0	AE N D R IY AH Z
ANDREA'S(2)	1.0	AA N D R EY AH Z
ANDREA(2)	1.0	AA N D R EY AH
ANDREAE	1.0	AA N D R EY AA
ANDREAS	1.0	AA N D R EY AH S
ANDREW	1.0	AE N D R UW
ANDREW'S	1.0	AE N D R UW Z
ANDREWS	1.0	AE N D R UW Z
ANDREWS'S	1.0	AE N D R UW Z IX Z
ANDS	1.0	AE N D Z
ANDY	1.0	AE N D IY
ANECDOTE	1.0	AE N IH K D OW T
ANECDOTES	1.0	AE N IH K D OW T S
ANEMIC	1.0	AH N IY M IH K
ANEROID	1.0	AE N AH R OY D
ANEROIDS	1.0	AE N AH R OY D Z
ANEW	1.0	AH N UW
ANEW(2)	1.0	AH N Y UW
ANGE	1.0	EY N JH
ANGEL	1.0	EY N JH AH L
ANGELES	1.0	AE N JH AH L IH S
ANGELIC	1.0	AE N JH EH L IH K
ANGELIQUE	1.0	AE N JH EH L IY K
ANGELO	1.0	AE N JH AH L OW
ANGELS	1.0	EY N JH AH L Z
ANGER	1.0	AE NG G ER
ANGERED	1.0	AE NG G ER D
ANGERS	1.0	AE NG G ER Z
ANGLE	1.0	AE NG G AH L
ANGLED	1.0	AE NG G AH L D
ANGLES	1.0	AE NG G AH L Z
ANGLICAN	1.0	AE NG G L IH K AH N
ANGLING	1.0	AE NG G L IH NG
ANGLO	1.0	AE NG G L OW
ANGOLA	1.0	AE NG G OW L AH
ANGRILY	1.0	AE NG G R AH L IY
ANGRY	1.0	AE NG G R IY
ANGUISH	1.0	AE NG G W IH SH
ANGULAR	1.0	AE NG G Y AH L ER
ANIMADVERTED	1.0	AE N AH M AE D AH R T AH D
ANIMAL	1.0	AE N AH M AH L
ANIMAL'S	1.0	AE N AH M AH L Z
ANIMALS	1.0	AE N AH M AH L Z
ANIMATE	1.0	AE N AH M AH T
ANIMATE(2)	1.0	AE N AH M EY T
ANIMATED	1.0	AE N AH M EY T IH D
ANIMATION	1.0	AE N AH M EY SH AH N
ANIMISTIC	1.0	AE N AH M IH S T IH K
ANIMO	1.0	AE N AH M OW
ANIMOSITY	1.0	AE N AH M AA S AH T IY
ANISEED	1.0	AE N AH S IY D
ANITA	1.0	AH N IY T AH
ANITA'S	1.0	AH N IY T AH Z
ANJITSU	1.0	AE N JH IH T S UW
ANJOU	1.0	AE N JH UW
ANKLE	1.0	AE NG K AH L
ANKLES	1.0	AE NG K AH L Z
ANKLET	1.0	AE NG K L IH T
ANKLETS	1.0	AE NG K L AH T S
ANN	1.0	AE N
ANNA	1.0	AE N AH
ANNABEL	1.0	AE N AH B EH L
ANNALS	1.0	AE N AH L Z
ANNAMITE	1.0	AE N AH M AY T
ANNE	1.0	AE N
ANNE'S	1.0	AE N Z
ANNEALED	1.0	AE N IY L D
ANNETTA	1.0	AE N EH T AH
ANNETTE	1.0	AH N EH T
ANNEX	1.0	AE N EH K S
ANNEX'D	1.0	AH N EH K S D
ANNEX(2)	1.0	AH N EH K S
ANNEXED	1.0	AE N EH K S T
ANNEXED(2)	1.0	AH N EH K S T
ANNIE	1.0	AE N IY
ANNIE'S	1.0	AE N IY Z
ANNIHILATE	1.0	AH N AY AH L EY T
ANNIHILATED	1.0	AH N AY AH L EY T IH D
ANNIHILATES	1.0	AH N AY AH L EY T S
ANNIHILATION	1.0	AH N AY AH L EY SH AH N
ANNIVERSARY	1.0	AE N AH V ER S ER IY
ANNOUNCE	1.0	AH N AW N S
ANNOUNCED	1.0	AH N AW N S T
ANNOUNCEMENT	1.0	AH N AW N S M EH N T
ANNOUNCEMENTS	1.0	AH N AW N S M EH N T S
ANNOUNCING	1.0	AH N AW N S IH NG
ANNOY	1.0	AH N OY
ANNOYANCE	1.0	AH N OY AH N S
ANNOYANCES	1.0	AH N OY AH N S IH Z
ANNOYED	1.0	AH N OY D
ANNOYING	1.0	AH N OY IH NG
